Method,Mean,Std,Min,Max,Range,Time (s)
TF-IDF,0.19377624041778763,0.10664769520542819,0.0008,0.46100243901176163,0.4602024390117616,0.03014850616455078
Word2Vec,0.7432726762264967,0.17740877123598459,0.3439533680677414,0.9963099479675293,0.6523565798997879,0.2951180934906006
GloVe,0.7432726762264967,0.17740877123598459,0.3439533680677414,0.9963099479675293,0.6523565798997879,0.2960336208343506
FastText,0.782724458603217,0.14423545076703229,0.39880203902721406,0.9944657802581787,0.5956637412309647,2.055891275405884
SBERT,0.5196620721520713,0.17263450964172766,0.0778391805946827,0.8224833426475525,0.7446441620528699,5.897253513336182
